物流数据分析				(职位编号：000871),浙江森马电子商务有限公司,民营公司,500-1000人,互联网/电子商务,0.5-1万/月,嘉兴,1年经验,大专,招3人,03-26发布,,,带薪年假;五险一金;绩效奖金;节日福利;专业培训;交通补贴;年度旅游,
数据分析师,深圳市麦谷科技有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),1-1.5万/月,深圳-南山区,2年经验,硕士,招若干人,03-26发布,,,五险一金;补充医疗保险;员工旅游;年终奖金;绩效奖金;弹性工作;定期体检,
数据分析员储备岗,昆明劲王鞋业,民营公司,150-500人,批发/零售,4.5-6千/月,昆明-西山区,无工作经验,大专,招3人,03-26发布,英语,统计学 数学与应用数学,带薪年假;绩效奖金;全勤奖;节日福利,
大数据分析工程师,深圳市爱宝惟生物科技有限公司,民营公司,少于50人,互联网/电子商务,2-2.5万/月,深圳-宝安区,2年经验,本科,招1人,03-26发布,,,周末双休;带薪年假;五险一金;全勤奖,
数据分析主管（偏SEO）,广州城博建科展览有限公司,合资,50-150人,公关/市场推广/会展,0.8-1万/月,广州-海珠区,无工作经验,,招若干人,03-26发布,,,五险一金;员工旅游;出国机会;定期体检;弹性工作;专业培训;年终奖金;绩效奖金,
大数据分析开发工程师,联发科技股份有限公司,外资（非欧美）,1000-5000人,电子技术/半导体/集成电路,1.5-2万/月,合肥-高新区,2年经验,本科,招1人,03-26发布,,,五险一金;补充医疗保险;专业培训;年终奖金;弹性工作;定期体检;员工旅游,
数据分析师,北京六律科技有限责任公司,民营公司,500-1000人,通信/电信运营、增值服务,6-9千/月,广州-天河区,无工作经验,,招1人,03-26发布,,,五险一金;员工旅游;年终奖金;绩效奖金;专业培训;补充医疗保险;弹性工作;周末双休,
数据分析专员,上海共添市场营销服务股份有限公司,民营公司,500-1000人,公关/市场推广/会展,6-8千/月,上海,1年经验,中专,招1人,03-26发布,,,弹性工作;五险一金,
数据分析师,广州赫特国际贸易有限公司,民营公司,50-150人,贸易/进出口,0.6-1万/月,广州-白云区,1年经验,本科,招2人,03-26发布,,,弹性工作;带薪年假;五险一金;绩效奖金;节日福利;专业培训;加班补贴;员工旅游,
销售数据分析,南京中山制药有限公司,国企,150-500人,制药/生物工程,4-6千/月,南京-玄武区,2年经验,大专,招1人,03-26发布,,统计学 财政学,五险一金;员工旅游;带薪年假;节日福利;绩效奖金;专业培训;年终奖金;餐饮补贴;免费班车;定期体检,
大数据分析师,深圳天源迪科信息技术股份有限公司,民营公司,1000-5000人,计算机软件,1-1.5万/月,南京-建邺区,1年经验,硕士,招2人,03-26发布,,,五险一金;年终奖金;定期体检;节日福利,
数据分析师,上海东正汽车金融股份有限公司,合资,1000-5000人,金融/投资/证券,2.5-3万/月,上海,3-4年经验,本科,招若干人,03-26发布,,,五险一金;绩效奖金;专业培训,
客服退费统计数据分析岗（杨浦）,上海润迅商凯电话商务有限公司,民营公司,1000-5000人,通信/电信运营、增值服务,5-5.3千/月,上海-杨浦区,1年经验,大专,招若干人,03-26发布,,,五险一金;年终奖金;周末双休;做五休二;节日福利,
数据分析师,珠海杜壹电子商务有限公司,民营公司,150-500人,互联网/电子商务,0.5-1.5万/月,珠海-香洲区,1年经验,本科,招1人,03-26发布,,,,
数据分析师,深圳市德科信息技术有限公司,合资,1000-5000人,计算机服务(系统、数据服务、维修),1-1.5万/月,上海-徐汇区,3-4年经验,本科,招3人,03-26发布,,,五险一金;员工旅游;专业培训;弹性工作;年终奖金;绩效奖金,
数据分析师（SQL）,蓝色光标-欧泰谱（CRM营销服务）,民营公司,50-150人,计算机服务(系统、数据服务、维修),6-9千/月,上海-黄浦区,无工作经验,本科,招1人,03-26发布,英语良好,,五险一金;补充医疗保险;交通补贴;餐饮补贴;定期体检;年终奖金,
数据分析专员,深圳市宇轩网络技术有限公司武汉分公司,民营公司,500-1000人,互联网/电子商务,0.6-1万/月,武汉-洪山区,2年经验,大专,招4人,03-26发布,,,五险一金;出国机会;年终奖金;下午茶;节日福利,
数据分析师,郑州恩思特企业管理咨询有限公司,创业公司,少于50人,公关/市场推广/会展,3-5千/月,郑州-金水区,1年经验,大专,招2人,03-26发布,,,员工旅游;交通补贴;餐饮补贴;通讯补贴;年终奖金;弹性工作;绩效奖金,
数据分析师,广州知商互联网科技有限公司,民营公司,1000-5000人,金融/投资/证券,1-1.5万/月,广州-黄埔区,3-4年经验,本科,招1人,03-26发布,,,五险一金;五天工作制;带薪年假;节日福利;股票期权,
大数据分析工程师,上海邦芯物联网科技有限公司,民营公司,150-500人,计算机软件,1.5-2万/月,上海-松江区,3-4年经验,硕士,招若干人,03-26发布,,电子信息工程 力学,五险一金;专业培训;绩效奖金;年终奖金,
数据分析,红牛公司湖南分公司,外资（非欧美）,150-500人,快速消费品(食品、饮料、化妆品),4.5-6千/月,长沙,无工作经验,,招2人,03-26发布,,,五险一金;交通补贴;餐饮补贴;通讯补贴;专业培训;绩效奖金;年终奖金;定期体检,
数据分析（新媒体部）,杭州悦蓝泛娱科技股份有限公司,民营公司,150-500人,互联网/电子商务,4.5-6千/月,杭州-西湖区,无工作经验,,招若干人,03-26发布,,,五险一金;弹性工作;年终奖金;周末双休,
金融数据分析师助理（底薪4800+五险一金）,广州市大睿杭实业投资有限公司,民营公司,50-150人,金融/投资/证券,6-8千/月,广州-天河区,无工作经验,,招2人,03-26发布,,,,
数据分析师/淘宝运营数据分析师,南京沿途电子商务有限公司,民营公司,150-500人,互联网/电子商务,6-8千/月,南京-江宁区,1年经验,大专,招1人,03-26发布,,统计学 数学与应用数学,五险一金;专业培训;员工旅游;绩效奖金;年终奖金;补充医疗保险;补充公积金;餐饮补贴;出国机会;定期体检,
数据分析(MJ000142),食亨（上海）科技服务有限公司,民营公司,500-1000人,互联网/电子商务,1.5-3万/月,上海-虹口区,3-4年经验,,招1人,03-26发布,,,五险一金;员工旅游;绩效奖金;周末双休;团建,
平台运维（数据分析）,上海浦公节能环保科技有限公司,民营公司,50-150人,新能源,6-8.5千/月,上海-浦东新区,无工作经验,,招1人,03-26发布,,,五险一金;餐饮补贴;员工旅游;交通补贴;年终奖金;带薪年假;绩效奖金;定期体检,
数据分析员,南京恋物匠贸易有限公司,民营公司,150-500人,服装/纺织/皮革,4-5千/月,南京-江宁区,无工作经验,,招1人,03-26发布,,,员工旅游;出国机会;交通补贴;餐饮补贴;绩效奖金;生日福利,
数据分析师,广州河马游戏科技有限公司,民营公司,50-150人,网络游戏,1-2万/月,广州-天河区,1年经验,本科,招1人,03-26发布,,,五险一金;员工旅游;年终奖金;弹性工作;定期体检;下午茶;专业培训;周末双休;绩效奖金;出国机会,
数据分析师,深圳唯修汇科技有限公司,民营公司,50-150人,互联网/电子商务,0.9-1.1万/月,深圳-宝安区,2年经验,本科,招1人,03-26发布,,,节日福利;五险一金;专业培训,
数据分析师,上海智联广告有限公司,民营公司,50-150人,广告,0.8-1万/月,上海-徐汇区,2年经验,大专,招1人,03-26发布,,,五险一金;员工旅游;绩效奖金;年终奖金;弹性工作;定期体检,
数据分析师,北京千秋岁文化传播有限公司,民营公司,150-500人,影视/媒体/艺术/文化传播,0.8-1.2万/月,北京-朝阳区,无工作经验,,招1人,03-26发布,,,节日福利;交通补贴;每年多次调薪;定期体检;带薪年假;五险一金;年终奖金,
数据分析经理,百德沃贸易(香港）有限公司,合资,50-150人,互联网/电子商务,1.5-2万/月,上海,2年经验,大专,招1人,03-26发布,,,做五休二;周末双休;弹性工作;带薪年假;五险一金;绩效奖金;节日福利,
数据分析（营销分析方向）,广州点动信息科技股份有限公司,上市公司,1000-5000人,通信/电信运营、增值服务,6-8千/月,广州-天河区,无工作经验,本科,招2人,03-26发布,,,,
数据分析专员,广州中赢实业投资有限公司,民营公司,150-500人,金融/投资/证券,6-8千/月,广州-天河区,无工作经验,大专,招8人,03-26发布,,,五险一金;绩效奖金;股票期权;出国机会;专业培训;弹性工作;员工旅游;周末双休,
数据分析专员,中山研拓打印机设备有限公司,外资（欧美）,1000-5000人,贸易/进出口,4-8千/月,中山,1年经验,中专,招2人,03-26发布,英语一般,,五险一金;交通补贴;出国机会;绩效奖金;年终奖金;免费班车;节日福利;健身俱乐部;提供吃住,
数据分析员,广东广信通信服务有限公司,国企,5000-10000人,通信/电信运营、增值服务,7-15万/年,广州-天河区,无工作经验,,招1人,03-26发布,,,五险一金;专业培训;绩效奖金;年终奖金;高温补贴;带薪年假;节日福利;定期体检;餐饮补贴,
数据分析工程师,中包物联网科技（北京）有限公司,民营公司,50-150人,电子技术/半导体/集成电路,7-12万/年,天津-河北区,2年经验,硕士,招2人,03-26发布,,统计学,五险一金;绩效奖金;带薪年假;定期体检;节日福利;年终奖金;周末双休,
数据分析师,上海易船行贸易有限公司,民营公司,少于50人,互联网/电子商务,0.8-1.2万/月,上海-徐汇区,2年经验,本科,招1人,03-26发布,,,员工旅游;弹性工作;出国机会;专业培训;五险一金,
商品数据分析专员(MJ000109),上海创创文化传播股份有限公司,民营公司,500-1000人,专业服务(咨询、人力资源、财会),0.6-1万/月,上海-长宁区,2年经验,本科,招1人,03-26发布,,,,
商务咨询数据分析，江森自控,江森自控（中国）投资有限公司,外资（欧美）,5000-10000人,机械/设备/重工,3-4万/月,上海,10年以上经验,本科,招1人,03-26发布,,,免费班车;专业培训,
初级医院数据分析员,上海蓬海涞讯数据技术有限公司,合资,50-150人,计算机服务(系统、数据服务、维修),4.5-6千/月,上海,1年经验,本科,招若干人,03-26发布,,,五险一金;餐饮补贴;通讯补贴;绩效奖金;交通补贴;商业保险,
数据分析师,深圳国泰安数据技术有限公司,民营公司,150-500人,计算机软件,0.5-1万/月,合肥-高新区,2年经验,硕士,招1人,03-26发布,,,五险一金;年终奖金;周末双休;带薪年假,
数据分析师,武汉金豆医疗数据科技有限公司,创业公司,150-500人,互联网/电子商务,1-1.5万/月,武汉-洪山区,3-4年经验,本科,招1人,03-26发布,,,五险一金;弹性工作;年终奖金;专业培训;绩效奖金;周末双休;定期体检,
BI数据分析师,上海轻轻信息科技有限公司,民营公司,1000-5000人,教育/培训/院校,0.8-1.2万/月,南京-建邺区,3-4年经验,本科,招1人,03-26发布,,,五险一金;绩效奖金;带薪年假;做五休二,
数据分析师,山东亿云信息技术有限公司,民营公司,150-500人,计算机软件,0.8-1.2万/月,济南-高新区,3-4年经验,本科,招1人,03-26发布,,,五险一金;通讯补贴;年终奖金;定期体检;绩效奖金,
数据分析专员,上海道生智企业管理顾问有限公司,合资,150-500人,专业服务(咨询、人力资源、财会),6-8千/月,合肥,无工作经验,,招3人,03-26发布,,,周末双休;带薪年假;五险一金;全勤奖;做五休二;餐饮补贴;绩效奖金;专业培训;出国机会;年终奖金,
数据分析师,深圳市友联创科技有限公司,民营公司,150-500人,互联网/电子商务,5.5-8千/月,深圳-龙岗区,无工作经验,本科,招1人,03-26发布,英语,,五险一金;绩效奖金;周末双休;年终奖金;补充医疗保险;节日福利;生日福利;带薪年假,
运营数据分析专员（应届生亦可）,厦门惠尔康食品有限公司,合资,1000-5000人,快速消费品(食品、饮料、化妆品),4.5-6千/月,厦门,无工作经验,本科,招若干人,03-26发布,,,五险一金;绩效奖金;带薪年假;周末双休;全勤奖;节日福利;年终奖金;餐饮补贴;出国机会,
数据分析专员,昆明柏德口腔门诊有限公司,民营公司,150-500人,医疗/护理/卫生,4.5-6千/月,昆明,2年经验,大专,招1人,03-26发布,,,带薪年假;包住宿;绩效奖金;专业培训;全勤奖,
HE&OR数据分析师,迈凯咨询（大连）有限公司,外资（欧美）,少于50人,专业服务(咨询、人力资源、财会),0.8-1.2万/月,大连-沙河口区,无工作经验,硕士,招2人,03-26发布,英语良好,,出国机会;专业培训;弹性工作;五险一金;补充医疗保险;定期体检;年终奖金,
数据分析				(职位编号：037),欧百娜体育用品（沈阳）有限责任公司,民营公司,50-150人,互联网/电子商务,0.5-1万/月,沈阳-皇姑区,无工作经验,大专,招3人,03-26发布,,,带薪年假;绩效奖金;满勤奖;员工旅游;节日福利;专业培训;免费午餐;五险,
数据分析,南京欣网互联网络科技有限公司,民营公司,1000-5000人,通信/电信运营、增值服务,1-1.2万/月,甘肃省,3-4年经验,大专,招1人,03-26发布,,,五险一金;交通补贴;餐饮补贴;绩效奖金;年终奖金;通讯补贴;定期体检,
生物信息工程师（转录组数据分析）,上海中科新生命生物科技有限公司,国企,150-500人,制药/生物工程,0.8-1.5万/月,上海-闵行区,1年经验,硕士,招5人,03-26发布,英语熟练,,五险一金;补充医疗保险;年终奖金;绩效奖金;餐饮补贴,
