,Unnamed: 0,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,ReleaseTime,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
1161,1161,C#软件工程师,合肥芯碁微电子装备有限公司,民营公司,50-150人,电子技术/半导体/集成电路,7-9千/月,合肥,1年经验,本科,招1人,03-21发布,五险一金;餐饮补贴;通讯补贴;交通补贴;年终奖金;周末双休,2,7.0,9.0,1
1162,1162,C#（.NET）程序员软件开发工程师（急聘）,湖北安式软件有限公司,民营公司,50-150人,计算机软件,0.3-1万/月,武汉,无工作经验,大专,招10人,03-21发布,五险一金;绩效奖金;全勤奖;节日福利;专业培训;加班补贴;员工旅游;交通补贴;年终奖金;股票期权,3,3.0,10.0,1
1163,1163,开发工程师（C#）,北京能科瑞元数字技术有限公司,民营公司,150-500人,计算机软件,1-1.8万/月,上海,3-4年经验,本科,招2人,03-21发布,五险一金,3,10.0,18.0,1
1164,1164,C#商城开发/运维工程师,上海久茂国际物流有限公司,民营公司,50-150人,交通/运输/物流,0.7-1.5万/月,上海,2年经验,本科,招2人,03-21发布,五险一金;员工旅游;年终奖金,3,7.0,15.0,1
1165,1165,C#ASP.NET开发工程师,武创智达科技（杭州）有限公司,民营公司,少于50人,仪器仪表/工业自动化,0.8-1.5万/月,杭州,2年经验,本科,招1人,03-21发布,周末双休;绩效奖金;员工旅游;弹性工作;带薪年假;年终奖金,3,8.0,15.0,1
1166,1166,C#高级软件工程师,四川雅达尔科技有限公司,民营公司,少于50人,计算机软件,1-1.5万/月,成都,3-4年经验,大专,招2人,03-21发布,五险一金;年终奖金;定期体检;员工旅游,3,10.0,15.0,1
1167,1167,网站开发工程师（asp;C#）,金戈实业,民营公司,50-150人,广告,3-5千/月,南京,1年经验,大专,招2人,03-21发布,绩效奖金;员工旅游,2,3.0,5.0,1
1168,1168,C#开发工程师,珠海保税区光联通讯技术有限公司,外资（欧美）,1000-5000人,通信/电信/网络设备,0.7-1.2万/月,珠海,2年经验,大专,招1人,03-21发布,五险一金;免费班车;员工旅游;年终奖金;定期体检;餐饮补贴,3,7.0,12.0,1
1169,1169,C#高级开发工程师,四川国软科技发展有限责任公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),0.8-2万/月,成都,5-7年经验,本科,招2人,03-21发布,五险一金;绩效奖金;年终奖金;弹性工作;周末双休,3,8.0,20.0,1
1170,1170,C#助理开发工程师,广东劲胜智能集团股份有限公司,合资,10000人以上,原材料和加工,0.6-1万/月,东莞,1年经验,大专,招2人,03-21发布,包吃;包住宿;带薪年假;五险一金;员工旅游;专业培训;项目奖金;节日福利,3,6.0,10.0,1
1171,1171,C#开发工程师,杭州贯通物联网有限公司,民营公司,50-150人,计算机硬件,1.2-2万/月,杭州,2年经验,大专,招1人,03-21发布,五险一金,3,12.0,20.0,1
1172,1172,C#/.net软件开发工程师,上海真兰仪表科技股份有限公司,合资,500-1000人,仪器仪表/工业自动化,1.5-2万/月,上海,无工作经验,不限学历,招5人,03-21发布,五险一金;绩效奖金;节日福利;住房补贴;加班补贴;餐饮补贴;交通补贴,3,15.0,20.0,1
1173,1173,C#开发工程师,昆达电脑科技（昆山）有限公司,外资（非欧美）,1000-5000人,多元化业务集团公司,6-8千/月,昆山,1年经验,大专,招3人,03-21发布,五险一金;免费班车;员工旅游;年终奖金;绩效奖金;专业培训;定期体检;弹性工作,2,6.0,8.0,1
1174,1174,C#软件工程师,北京特谱康科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,1-1.5万/月,北京,3-4年经验,本科,招2人,03-21发布,五险一金;员工旅游;专业培训;补充医疗保险;免费班车,3,10.0,15.0,1
1175,1175,C#开发工程师,荣科科技股份有限公司,上市公司,150-500人,计算机服务(系统、数据服务、维修),0.8-1万/月,沈阳,5-7年经验,本科,招5人,03-21发布,通讯补贴;餐饮补贴;做五休二;节日福利;专业培训;五险一金;补充医疗保险;绩效奖金;年终奖金;定期体检,3,8.0,10.0,1
1176,1176,ASP.NET（C#）工程师,深圳巨全网络技术有限公司,民营公司,50-150人,网络游戏,7-9千/月,深圳,1年经验,大专,招1人,03-21发布,五险一金;员工旅游,2,7.0,9.0,1
1177,1177,C#软件工程师				(职位编号：008),沈阳金建数字城市软件有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),3-6千/月,沈阳,1年经验,本科,招5人,03-21发布,五险一金,2,3.0,6.0,1
1178,1178,C#高级软件工程师,重庆凯泽科技股份有限公司,上市公司,50-150人,计算机软件,0.7-1.2万/月,重庆,5-7年经验,不限学历,招若干人,03-21发布,交通补贴;餐饮补贴;员工旅游;专业培训;绩效奖金;年终奖金;五险,3,7.0,12.0,1
1179,1179,C#/.NET开发工程师,中建电子商务有限责任公司,国企,50-150人,互联网/电子商务,1-1.7万/月,成都,5-7年经验,大专,招5人,03-21发布,补充医疗保险;交通补贴;餐饮补贴;通讯补贴;弹性工作;定期体检;16薪;高额福利;五险一金,3,10.0,17.0,1
1180,1180,C++/C#中级工程师,上海今日信息科技有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),6-8千/月,西安,2年经验,本科,招若干人,03-21发布,五险一金;补充医疗保险;定期体检;弹性工作;通讯补贴,2,6.0,8.0,1
1181,1181,C#开发工程师,金华斯维尔网络科技有限公司,民营公司,50-150人,网络游戏,1-1.5万/月,金华,无工作经验,不限学历,招5人,03-21发布,绩效奖金;年终奖金,3,10.0,15.0,1
1182,1182,软件开发工程师（C/C++/C#）,成都卫士通信息产业股份有限公司,上市公司,1000-5000人,通信/电信/网络设备,1-1.5万/月,成都,2年经验,本科,招2人,03-21发布,五险一金;补充医疗保险;交通补贴;餐饮补贴;通讯补贴;绩效奖金;定期体检;高温假期,3,10.0,15.0,1
1183,1183,C#软件工程师,上海巨哥电子科技有限公司,合资,少于50人,电子技术/半导体/集成电路,15-20万/年,上海,无工作经验,本科,招若干人,03-21发布,五险一金;员工旅游;股票期权;绩效奖金;餐饮补贴;专业培训;定期体检;年终奖金,4,12.5,16.666666666666668,1
1184,1184,C#开发工程师,上海谱盟光电科技有限公司,民营公司,少于50人,电气/电力/水利,10-15万/年,上海,1年经验,本科,招2人,03-21发布,五险一金;餐饮补贴;通讯补贴;绩效奖金;年终奖金;股票期权;员工旅游,4,8.333333333333334,12.5,1
1185,1185,C#开发工程师,上海臻鼎健康科技有限公司,民营公司,50-150人,互联网/电子商务,1-1.5万/月,上海,无工作经验,不限学历,招1人,03-21发布,五险一金;弹性工作;员工旅游;出国机会;绩效奖金;年终奖金;定期体检,3,10.0,15.0,1
1186,1186,软件工程师(上位机/windows/C++C#）,北京华益瑞科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,0.7-1.8万/月,北京,2年经验,本科,招1人,03-21发布,员工旅游;出国机会;定期体检;通讯补贴;餐饮补贴;交通补贴;年终奖金;绩效奖金,3,7.0,18.0,1
1187,1187,高级软件工程师（C#.Net方向）,瑞章科技有限公司,合资,150-500人,电子技术/半导体/集成电路,1-1.6万/月,上海,无工作经验,不限学历,招3人,03-21发布,五险一金;餐饮补贴;通讯补贴;股票期权;年终奖金;定期体检;弹性工作,3,10.0,16.0,1
1188,1188,C#.NET开发技术员,广州智管信息科技有限公司,民营公司,少于50人,计算机软件,0.5-1万/月,广州,1年经验,大专,招3人,03-21发布,五险一金;专业培训,3,5.0,10.0,1
1189,1189,C#中高级软件开发工程师,四川效率源信息安全技术股份有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),1-1.5万/月,成都,2年经验,大专,招3人,03-21发布,五险一金;员工旅游;定期体检;年终奖金;股票期权;节日福利;全勤奖,3,10.0,15.0,1
1190,1190,C#开发工程师,福建紫讯信息科技有限公司,民营公司,150-500人,互联网/电子商务,6-8千/月,福州,1年经验,大专,招1人,03-21发布,五险一金;员工旅游,2,6.0,8.0,1
1191,1191,高级软件工程师(C#;asp.net)/技术合伙人,武汉市客户无忧科技有限公司,民营公司,少于50人,互联网/电子商务,1-1.5万/月,武汉,3-4年经验,本科,招若干人,03-22发布,五险一金;股票期权;弹性工作;员工旅游;年终奖金;绩效奖金;餐饮补贴,3,10.0,15.0,1
1192,1192,C#开发工程师,民航数据通信有限责任公司,国企,150-500人,计算机软件,0.7-1.5万/月,北京,2年经验,本科,招若干人,03-22发布,补充医疗保险;五险一金;定期体检;绩效奖金;专业培训,3,7.0,15.0,1
1193,1193,C#软件工程师,上海笙阳数码设备有限公司,民营公司,50-150人,机械/设备/重工,0.7-1.2万/月,上海,无工作经验,大专,招2人,03-22发布,五险一金;做五休二;带薪年假;免费工作餐;专业培训;出国机会;弹性工作;年终奖金;员工旅游;绩效奖金,3,7.0,12.0,1
1194,1194,C#开发工程师,湖南建研信息技术股份有限公司,民营公司,150-500人,计算机软件,10-15万/年,长沙,无工作经验,本科,招2人,03-22发布,员工旅游;绩效奖金;年终奖金;股票期权;五险,4,8.333333333333334,12.5,1
1195,1195,ASP.NET(C#)开发工程师,深圳市杰源网络信息有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),1-1.5万/月,深圳,3-4年经验,大专,招2人,03-22发布,五险一金;员工旅游;绩效奖金;年终奖金;带薪年假,3,10.0,15.0,1
1196,1196,C#中高级开发工程师,北京油源恒业科技有限公司,民营公司,50-150人,计算机软件,0.8-1万/月,北京,1年经验,大专,招2人,03-22发布,绩效奖金;定期体检,3,8.0,10.0,1
1197,1197,C#软件开发工程师,成都格理特电子技术有限公司,民营公司,50-150人,计算机软件,6-9千/月,成都,1年经验,本科,招2人,03-22发布,五险一金,2,6.0,9.0,1
1198,1198,.NET/C#高级讲师（时间灵活，双休）,武汉软谋教育科技有限公司,民营公司,150-500人,教育/培训/院校,1.5-2.5万/月,武汉,5-7年经验,本科,招2人,03-22发布,餐饮补贴;交通补贴;专业培训;节日福利;弹性工作;员工旅游;销售提成;五险一金,3,15.0,25.0,1
1199,1199,C#开发工程师,武汉慧通远达信息技术有限公司,民营公司,50-150人,互联网/电子商务,0.6-1.5万/月,武汉,无工作经验,不限学历,招3人,03-22发布,五险一金;员工旅游;绩效奖金;年终奖金;弹性工作;专业培训,3,6.0,15.0,1
1200,1200,C#开发工程师,四川开澜科技有限公司,民营公司,少于50人,计算机软件,0.7-1.2万/月,成都,2年经验,本科,招3人,03-22发布,五险一金;弹性工作;交通补贴;通讯补贴;超长假期;餐饮补贴,3,7.0,12.0,1
